Category,ID,Latitude,Longitude,Date,Orbit Number,Build ID,Scene ID,ECO4WUE_001_Water_Use_Efficiency_WUEavg
NMEG,US-Seg,34.3623,-106.702,2019-09-07 14:34:48 UTC,6647,601,5,0.2834582
NMEG,US-Seg,34.3623,-106.702,2019-10-05 19:51:56 UTC,7085,601,2,0.7691981
NMEG,US-Seg,34.3623,-106.702,2019-10-09 18:14:39 UTC,7146,601,2,0.6595967
NMEG,US-Seg,34.3623,-106.702,2019-10-17 15:00:07 UTC,7268,601,4,0.4052605
NMEG,US-Seg,34.3623,-106.702,2019-10-20 14:10:16 UTC,7314,601,2,0.2305241
NMEG,US-Seg,34.3623,-106.702,2019-10-22 20:41:42 UTC,7349,601,10,0.9602538
NMEG,US-Seg,34.3623,-106.702,2019-10-26 19:04:06 UTC,7410,601,10,0.580946
NMEG,US-Seg,34.3623,-106.702,2019-10-30 17:26:53 UTC,7471,601,11,0.751932
NMEG,US-Seg,34.3623,-106.702,2019-11-02 16:37:21 UTC,7517,601,11,0.4312446
NMEG,US-Seg,34.3623,-106.702,2019-12-01 21:09:46 UTC,7970,601,2,0.2604039
NMEG,US-Seg,34.3623,-106.702,2019-12-18 22:00:51 UTC,8234,601,10,0.1689464
NMEG,US-Seg,34.3623,-106.702,2019-12-21 21:12:36 UTC,8280,601,13,0.3245462
NMEG,US-Seg,34.3623,-106.702,2020-01-06 14:49:08 UTC,8524,601,10,0.15945
NMEG,US-Seg,34.3623,-106.702,2020-01-31 21:14:17 UTC,8916,601,2,0.2706263
NMEG,US-Seg,34.3623,-106.702,2020-02-08 18:07:16 UTC,9038,601,2,0.1451788
NMEG,US-Seg,34.3623,-106.702,2020-02-18 21:33:42 UTC,9195,601,13,0.290562
NMEG,US-Seg,34.3623,-106.702,2020-02-26 18:26:26 UTC,9317,601,8,0.2414377
NMEG,US-Seg,34.3623,-106.702,2020-03-09 13:45:01 UTC,9500,601,8,0.1207678
NMEG,US-Seg,34.3623,-106.702,2020-04-03 20:19:13 UTC,9892,601,2,0.5075493
NMEG,US-Seg,34.3623,-106.702,2020-04-07 18:47:33 UTC,9953,601,2,0.8669637
NMEG,US-Seg,34.3623,-106.702,2020-04-11 17:15:42 UTC,10014,601,2,0.8450719
NMEG,US-Seg,34.3623,-106.702,2020-04-12 16:29:11 UTC,10029,601,4,0.7778056
NMEG,US-Seg,34.3623,-106.702,2020-04-15 15:44:40 UTC,10075,601,3,0.7677144
NMEG,US-Seg,34.3623,-106.702,2020-04-17 22:18:41 UTC,10110,601,10,1.1168989
NMEG,US-Seg,34.3623,-106.702,2020-04-21 20:45:24 UTC,10171,601,11,0.7845448
NMEG,US-Seg,34.3623,-106.702,2020-04-29 17:37:06 UTC,10293,601,10,0.7862118
NMEG,US-Seg,34.3623,-106.702,2020-05-03 16:02:50 UTC,10354,601,5,0.6966409
NMEG,US-Seg,34.3623,-106.702,2020-05-21 01:37:40 UTC,10624,601,2,0.4562697
NMEG,US-Seg,34.3623,-106.702,2020-05-25 00:03:13 UTC,10685,601,2,0.7258555
NMEG,US-Seg,34.3623,-106.702,2020-06-01 20:54:23 UTC,10807,601,2,0.6471339
NMEG,US-Seg,34.3623,-106.702,2020-06-08 01:52:54 UTC,10903,601,13,0.1797117
NMEG,US-Seg,34.3623,-106.702,2020-06-09 17:45:20 UTC,10929,601,2,0.5883468
NMEG,US-Seg,34.3623,-106.702,2020-06-11 01:06:33 UTC,10949,601,11,0.4442601
NMEG,US-Seg,34.3623,-106.702,2020-06-17 14:36:04 UTC,11051,601,2,0.5306762
NMEG,US-Seg,34.3623,-106.702,2020-06-21 13:01:27 UTC,11112,601,2,0.3750267
NMEG,US-Seg,34.3623,-106.702,2020-06-22 20:22:02 UTC,11132,601,11,0.7560663
NMEG,US-Seg,34.3623,-106.702,2020-06-30 17:12:38 UTC,11254,601,11,0.5159383
NMEG,US-Seg,34.3623,-106.702,2020-07-04 15:37:51 UTC,11315,601,5,0.4686782
NMEG,US-Seg,34.3623,-106.702,2020-07-04 15:38:43 UTC,11315,601,6,0.4844846
NMEG,US-Seg,34.3623,-106.702,2020-07-08 14:04:46 UTC,11376,601,12,0.4146091
NMEG,US-Seg,34.3623,-106.702,2020-07-25 23:38:39 UTC,11646,601,3,0.3045236
NMEG,US-Seg,34.3623,-106.702,2020-07-29 22:03:51 UTC,11707,601,3,0.5549998
NMEG,US-Seg,34.3623,-106.702,2020-07-30 21:16:08 UTC,11722,601,2,0.477291
NMEG,US-Seg,34.3623,-106.702,2020-08-06 18:56:16 UTC,11829,601,4,0.2011215
NMEG,US-Seg,34.3623,-106.702,2020-08-07 18:09:22 UTC,11844,601,4,0.2420548
NMEG,US-Seg,34.3623,-106.702,2020-08-10 17:22:42 UTC,11890,601,4,0.2580285
NMEG,US-Seg,34.3623,-106.702,2020-08-14 15:49:06 UTC,11951,601,4,0.173873
NMEG,US-Seg,34.3623,-106.702,2020-08-18 14:15:29 UTC,12012,601,5,0.1639531
NMEG,US-Seg,34.3623,-106.702,2020-08-22 12:42:17 UTC,12073,601,2,0.0213457
NMEG,US-Seg,34.3623,-106.702,2020-08-24 19:15:34 UTC,12108,601,7,0.5118408
NMEG,US-Seg,34.3623,-106.702,2020-08-28 17:41:54 UTC,12169,601,12,0.4604962
NMEG,US-Seg,34.3623,-106.702,2020-09-23 00:15:02 UTC,12561,601,2,1.2870733
NMEG,US-Seg,34.3623,-106.702,2020-09-26 22:43:00 UTC,12622,601,5,1.6911613
